ham,"Ok."
ham,"Nice.nice.how is it working?"
ham,"How do you guys go to see movies on your side."
ham,"Hey mr whats the name of that bill brison book the one about language and words "
ham,"Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am"
ham,"All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?"
ham,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?"
ham,"Compliments to you. Was away from the system. How your side."
ham,"hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?"
ham,"Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?"
ham,"All sounds good. Fingers . Makes it difficult to type"
ham,"I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso."
ham,"Have a good evening! Ttyl"
spam,"U can WIN ?100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription"
ham,"Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx"
spam,"Urgent! Please call 09061213237 from a landline. ?5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+"
ham,"Hi this is yijue, can i meet u at 11 tmr?"
ham,"No. Thank you. You've been wonderful"
ham,"I cant pick the phone right now. Pls send a message"
ham,"HAPPY NEW YEAR MY NO.1 MAN"
spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P"
spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
ham,"Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you"
ham,"Okay but i thought you were the expert"
ham,"Ummma.will call after check in.our life will begin from qatar so pls pray very hard."
ham,"Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me."
ham,"Nah can't help you there, I've never had an iphone"
ham,"No probs hon! How u doinat the mo?"
ham,"That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem."
ham,"Let me know how to contact you. I've you settled in a room. Lets know you are ok."
ham,"Sorry, I'll call later"
ham,"When did dad get back."
ham,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in."
ham,"Tmrw. Im finishing 9 doors"
ham,"Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous"
ham,"Am not interested to do like that."
ham,"No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a mental:)"
ham,"Ok lor... But buy wat?"
ham,"My sister going to earn more than me da."
ham,"I have to take exam with march 3"
ham,"No he didn't. Spring is coming early yay!"
ham,"Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff."
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love"
ham,"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me"
ham,"R ?_ going 4 today's meeting?"
ham,"Dizzamn, aight I'll ask my suitemates when I get back"
ham,"That's significant but dont worry."
ham,"Ok can..."
ham,"Alright took the morphine. Back in yo."
spam,"You have won a guaranteed 32000 award or maybe even ?1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???"
ham,"Uh, heads up we don't have THAT much left"
