ham,"Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday."
ham,"Sat right? Okay thanks... "
ham,"Rofl betta invest in some  anti aging products"
ham,"O i played smash bros  &lt;#&gt;  religiously."
ham,"Yar lor actually we quite fast... Cos da ge slow wat... Haha..."
ham,"Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them."
spam,"For sale - arsenal dartboard. Good condition but no doubles or trebles!"
ham,"Nope i'll come online now.."
ham,"You'll never believe this but i have actually got off at taunton. Wow"
ham,"Nt yet chikku..simple habba..hw abt u?"
ham,"How i noe... Did ?_ specify da domain as nusstu... ?? still in sch..."
ham,"Okie.. Thanx.."
ham,"Have you always been saying welp?"
ham,"Cool, I'll text you when I'm on the way"
ham,"I'm still looking for a car to buy. And have not gone 4the driving test yet."
spam,"As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP"
ham,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!"
spam,"-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468"
ham,"Have you had a good day? Mine was really busy are you up to much tomorrow night?"
ham,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you"
ham,"All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?"
ham,"What time do u get out?"
ham,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING"
ham,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day."
ham,"No. Yes please. Been swimming?"
ham,"Ok lor. I'm in town now lei."
ham,"I'm in office now . I will call you  &lt;#&gt;  min:)"
ham,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour"
spam,"Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX"
ham,"I think we're going to finn's now, come"
spam,"URGENT!! Your 4* Costa Del Sol Holiday or ?5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost?1.50/pm, Max10mins"
spam,"it to 80488. Your 500 free text messages are valid until 31 December 2005."
spam,"T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply"
ham,"\Hey! do u fancy meetin me at 4 at cha ?? hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x\"""""
ham,"Sorry de i went to shop."
ham,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones"
spam,"Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL"
ham,"Wherre's my boytoy ? :-("
ham,"Having lunch:)you are not in online?why?"
ham,"Haf u eaten? Wat time u wan me 2 come?"
spam,"Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge."
ham,"Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?"
ham,"say thanks2. "
ham,"* Will be september by then!"
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
ham,"Did u got that persons story"
